ad	es	1
ad	ca	2
ae	ar	1
ae	en	2
af	ar	1
af	en	1
ag	en	1
ai	en	1
al	sq	1
am	hy	1
ao	pt	1
aq	en	1
ar	es	1
as	en	1
at	de	1
au	en	1
aw	nl	1
ax	sv	1
az	az	1
ba	en	1
bb	en	1
bd	bn	1
be	fr	1
be	nl	2
bf	fr	1
bf	ar	2
bg	bg	1
bh	ar	1
bi	fr	1
bj	fr	1
bj	ar	2
bl	fr	1
bm	en	1
bn	ml	1
bo	es	1
bq	nl	1
br	pt	1
bs	en	1
bt	dz	1
bv	no	1
bw	en	1
by	ru	1
bz	en	1
ca	en	1
ca	fr	2
cc	en	1
cd	fr	1
cd	ln	2
cf	fr	1
cg	fr	1
cg	ln	2
ch	de	1
ch	fr	2
ci	fr	1
ck	en	1
cl	es	1
cm	fr	1
cm	en	2
cn	zh	1
co	es	1
cr	es	1
cu	es	1
cv	es	1
cw	nl	1
cx	en	1
cy	el	1
cy	ar	2
cz	cs	1
de	de	1
dj	fr	1
dj	ar	2
dk	da	1
dm	fr	1
dm	en	2
do	es	1
dz	ar	1
dz	fr	1
ec	es	1
ee	et	1
ee	ru	2
eg	ar	1
eh	ar	1
er	ar	1
es	es	1
et	am	1
fi	fi	1
fj	en	1
fk	en	1
fm	en	1
fo	fo	1
fr	fr	1
ga	fr	1
gb	en	1
gd	en	1
ge	ka	1
gf	fr	1
gg	fr	1
gg	en	2
gh	en	1
gi	en	1
gi	es	2
gl	da	1
gm	en	1
gn	fr	1
gp	fr	1
gq	es	1
gr	el	1
gs	en	1
gt	es	1
gu	en	1
gw	fr	1
gy	en	1
hk	en	1
hm	en	1
hn	es	1
hr	hr	1
ht	fr	1
hu	hu	1
id	id	1
ie	en	1
il	he	1
im	en	1
in	hi	1
in	en	2
io	en	1
iq	ar	1
ir	ar	1
is	en	1
it	it	1
je	fr	1
je	en	2
jm	en	1
jo	ar	1
jp	ja	1
ke	en	1
kg	ru	1
kh	km	1
ki	en	1
km	fr	1
kn	en	1
kp	ko	1
kr	ko	1
kw	ar	1
ky	en	1
kz	ru	1
la	lo	1
lb	ar	1
lb	fr	2
lc	en	1
li	de	1
lk	en	1
lr	en	1
ls	en	1
lt	lt	1
lu	fr	1
lv	lv	1
lv	ru	2
ly	ar	1
ma	ar	1
ma	fr	2
mc	fr	1
md	ro	1
me	sr	1
mf	fr	1
mg	fr	1
mh	en	1
mk	mk	1
ml	fr	1
mm	my	1
mn	mn	1
mo	zh	1
mp	en	1
mq	fr	1
mr	ar	1
ms	en	1
mt	en	1
mu	en	1
mu	fr	2
mv	ar	1
mw	en	1
mx	es	1
my	en	1
mz	en	1
na	en	1
nc	fr	1
ne	fr	1
nf	en	1
ng	en	1
ni	es	1
ni	en	1
nl	nl	1
no	no	1
np	ne	1
nr	en	1
nu	en	1
nz	en	1
om	ar	1
pa	es	1
pe	es	1
pf	fr	1
pg	en	1
ph	en	1
pk	en	1
pk	ar	2
pl	pl	1
pm	fr	1
pn	en	1
pr	es	1
ps	ar	1
pt	pt	1
pw	en	1
py	es	1
qa	ar	1
re	fr	1
ro	ro	1
rs	sr	1
ru	ru	1
rw	fr	1
rw	en	2
sa	ar	1
sb	en	1
sc	fr	1
sd	en	1
sd	ar	2
se	sv	1
sg	en	1
sh	en	1
si	sl	1
sj	no	1
sk	sk	1
sl	en	1
sm	it	1
sn	fr	1
so	ar	1
sr	nl	1
ss	en	1
st	pt	1
sv	es	1
sx	nl	1
sy	ar	1
sy	en	2
sy	fr	3
sz	en	1
tc	en	1
td	fr	1
tf	fr	1
tg	fr	1
th	th	1
tj	ru	1
tk	en	1
tl	pt	1
tm	ru	1
tn	fr	1
tn	ar	2
to	en	1
tr	tr	1
tt	en	1
tv	en	1
tw	zh	1
tz	en	1
ua	uk	1
ug	en	1
um	us	1
us	us	1
uy	es	1
uz	ru	1
va	it	1
vc	en	1
ve	es	1
vg	en	1
vi	us	1
vn	vi	1
vu	fr	1
wf	fr	1
ws	en	1
xk	en	1
ye	ar	1
yt	fr	1
za	en	1
zm	en	1
zw	en	1
